id,type,lat,lon
371129575,atm,41.9936657,21.4428736,НБРМ
386744780,atm,41.9921343,21.4266335,Шпаркасе
416030019,atm,41.9881468,21.4552843,Стопанска Банка
416030021,atm,41.9881141,21.4550700,Охридска Банка
416411856,atm,42.0058046,21.4171593,Уни Банка
459663482,atm,41.9966492,21.4065094,Нема име
459670407,atm,41.9947783,21.4335756,Нема име
459670746,atm,41.9957098,21.4332758,Стопанска банка
547985718,atm,41.9857966,21.4437565,Тутунска Банка
1618605216,atm,41.9916695,21.4244409,Зират Банка
1747986348,atm,41.9876902,21.4327574,Нема име
1851476148,atm,41.9941727,21.4425119,Централен Регистер на РМ
2276499906,atm,41.9947725,21.4100251,Комерцијална Банка
2335276909,atm,41.9937422,21.4176190,Шпаркасе Банка Македонија АД Скопје
2520984629,atm,41.9976152,21.4263503,Стопанска Банка АД - Скопје
2884502183,atm,41.9892067,21.4502163,Нема име
2886274890,atm,41.9846465,21.4390666,NLB Тутунска Банка
2980043658,atm,41.9908011,21.4447857,Нема име
3099334942,atm,41.9909328,21.4455925,Halkbank
3101725359,atm,41.9989126,21.4351740,Шпаркасе
3101725378,atm,41.9993417,21.4357789,ProCredit
3101725381,atm,41.9940162,21.4423152,Stopanska Banka
3101725382,atm,41.9937271,21.4425083,Уни
3103985010,atm,41.9953834,21.4345612,NLB Tutunska banka
3341289787,atm,41.9928192,21.4299102,Комерцијална Банка
3437249685,atm,41.9953942,21.4310330,Нема име
3633126813,atm,41.9967060,21.4050875,Стопанска Банка АД - Скопје
3673492606,atm,41.9951423,21.4292834,Шпаркасе Банка Македонија АД Скопје
4012028345,atm,41.9988690,21.4205887,Стопанска Банка
4012028346,atm,41.9987428,21.4214196,Комерцијална Банка
4059895433,atm,41.9938379,21.4171609,Охридска Банка
4059895435,atm,41.9937486,21.4177179,Шпаркасе Банка
4059895436,atm,41.9938028,21.4172424,Охридска Банка
4169882189,atm,41.9920274,21.4295739,Шпаркасе
4197577689,atm,41.9847345,21.4549624,Нема име
4266034097,atm,41.9846955,21.4387451,Комерцијална Банка
4359835489,atm,41.9909851,21.4456144,Нема име
4448978289,atm,41.9833896,21.4392671,Уни Банка - Кисела Вода
4459578970,atm,41.9952945,21.4345705,НЛБ Тутунска банка
4502199191,atm,41.9952676,21.4296796,ПроКредит
4594432367,atm,41.9955887,21.4336687,Стопанска банка
4594432368,atm,41.9957551,21.4333409,Стопанска Банка АД - Скопје
4742916122,atm,41.9937698,21.4111045,Нема име
4938101522,atm,41.9917059,21.4378292,Шпаркасе
5055455127,atm,41.9868165,21.4310260,Нема име
5131823434,atm,41.9948876,21.4276102,TTK
5731830652,atm,41.9934567,21.4326259,Halkbank
6030006585,atm,41.9974347,21.4344946,Halkbank
6030006586,atm,41.9952698,21.4328457,Охридска Банка
6054036209,atm,41.9963482,21.4276726,НЛБ Банка
6054036214,atm,41.9994044,21.4200771,Нема име
6054037094,atm,41.9937523,21.4275923,Охридска банка
6054048715,atm,41.9984708,21.4225838,Silk road
6054048723,atm,41.9993025,21.4184814,Sparkasse
6054050096,atm,41.9991977,21.4189624,Halbank
6054062888,atm,42.0001277,21.4168385,Нема име
6137491236,atm,41.9876789,21.4327865,Стопанска Банка
6275107313,atm,41.9991750,21.4391635,Western Union
6281492651,atm,42.0022117,21.4401439,Стопанска Банка
6354850987,atm,41.9948126,21.4368842,Нема име
6414108786,atm,42.0072333,21.4425529,Нема име
6419704785,atm,42.0056394,21.4270178,Нема име
6440573589,atm,42.0057289,21.4270947,Нема име
6812641691,atm,41.9995612,21.4260008,NLB
6814246720,atm,41.9994512,21.4373450,NLB
6814246721,atm,41.9994624,21.4374748,Halk
6815559785,atm,41.9995003,21.4175894,NLB
6815931290,atm,41.9951941,21.4330782,Стопанска банка
6821158391,atm,41.9927810,21.4254378,NLB
6821158785,atm,41.9940018,21.4310477,Komerz
7133424007,atm,41.9972771,21.4087112,Шпаркасе
7133436089,atm,41.9992882,21.4185028,Шпаркасе
7133438548,atm,41.9984598,21.4252244,Шпаркасе
7133445813,atm,41.9970916,21.4297565,Шпаркасе
7133445908,atm,41.9952018,21.4323164,Шпаркасе
7137078903,atm,41.9937895,21.4276070,Охридска Банка
7137106710,atm,41.9916024,21.4341214,Охридска Банка
7137143985,atm,41.9881150,21.4550178,Охридска Банка
7138812609,atm,41.9941588,21.4304630,Охридска Банка
7138855081,atm,41.9928708,21.4414426,Охридска Банка
7139054635,atm,42.0028088,21.4079598,Охридска Банка
7876582715,atm,41.9839565,21.4390846,Silk Road
